"Filtros";"Produtos Disponíveis, Meus Produtos"
"WebGlobal ID";"PRODUTO";"MARCA";"No DE LOJAS";"MAIS BARATO";"STATUS";"CODIGO LOJISTA";"CODIGO INTERNO";"RANKING";"LOJISTA";"SELLERS";"PRECO";"DIFERENÇA";"PERCENTUAL";"No DE PARCELAS";"VALOR DA PARCELA"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"21º";"Magazine Luiza";"Multiloja";"135,36";"21,36";"18,74%";"2";"72,00"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"23º";"Ponto Frio";"Carrefour";"138,90";"24,90";"21,84%";"6";"25,72"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"23º";"Extra";"Carrefour";"138,90";"24,90";"21,84%";"6";"25,72"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"23º";"Casas Bahia";"Carrefour";"138,90";"24,90";"21,84%";"6";"25,72"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"26º";"Casa e Video";"Loja Electrolux";"141,55";"27,55";"24,17%";"4";"37,25"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"26º";"Magazine Luiza";"Loja Electrolux";"141,55";"27,55";"24,17%";"2";"74,50"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"28º";"Extra";"Lojas Colombo";"145,80";"31,80";"27,89%";"2";"72,90"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"29º";"Americanas";"Tom Utilidades Domesticas Ltda";"148,90";"34,90";"30,61%";"2";"74,45"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Casas Bahia";"Loja Electrolux";"149,00";"35,00";"30,70%";"6";"24,83"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Americanas";"Loja Electrolux";"149,00";"35,00";"30,70%";"2";"74,50"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Electrolux";"";"149,00";"35,00";"30,70%";"3";"49,67"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Meus Produtos";"MKP001006001220";"";"30º";"Web Continental";"Loja Electrolux";"149,00";"35,00";"30,70%";"0";"0,00"
"2092955";"Cafeteira Elétrica Electrolux Efficient Preto 110v - Ecm10";"Electrolux";"23";"52,11";"Ganhando";"MKP003250003192";"";"30º";"Angeloni";"Loja Electrolux Oficial";"149,00";"35,00";"30,70%";"8";"18,63"
